exchange,symbol,market_type,timestamp,open,high,low,close,volume,quote_volume
bitbank,btc_jpy,spot,2026-08-20T00:00:00+00:00,10950000,11033783,10950000,10987042,11.1803,
bitbank,btc_jpy,spot,2026-08-20T01:00:00+00:00,10983899,11063169,10971534,11039162,4.8236,
bitbank,btc_jpy,spot,2026-08-20T02:00:00+00:00,11039163,11053661,10969635,10969635,4.1008,
bitbank,btc_jpy,spot,2026-08-20T03:00:00+00:00,10966202,10972695,10905104,10951798,8.0889,
bitbank,btc_jpy,spot,2026-08-20T04:00:00+00:00,10951902,11020309,10950658,11011158,1.9310,
bitbank,btc_jpy,spot,2026-08-20T05:00:00+00:00,11007814,11037888,10998848,10998848,4.9316,
bitbank,btc_jpy,spot,2026-08-20T06:00:00+00:00,11000000,11068250,10990264,11055000,4.1094,
bitbank,btc_jpy,spot,2026-08-20T07:00:00+00:00,11055000,11072642,11012108,11049499,2.3148,
bitbank,btc_jpy,spot,2026-08-20T08:00:00+00:00,11054999,11380099,11048422,11341748,43.5953,
bitbank,btc_jpy,spot,2026-08-20T09:00:00+00:00,11341748,11389899,11319701,11357476,21.6891,
bitbank,btc_jpy,spot,2026-08-20T10:00:00+00:00,11358936,11500000,11346042,11399979,21.8209,
bitbank,btc_jpy,spot,2026-08-20T11:00:00+00:00,11391948,11457486,11389312,11404691,12.9085,
bitbank,btc_jpy,spot,2026-08-20T12:00:00+00:00,11401534,11416133,11334361,11397679,15.6212,
bitbank,btc_jpy,spot,2026-08-20T13:00:00+00:00,11397679,11415432,11280000,11371593,9.8344,
bitbank,btc_jpy,spot,2026-08-20T14:00:00+00:00,11373543,11414999,11330265,11381433,3.9620,
bitbank,btc_jpy,spot,2026-08-20T15:00:00+00:00,11384145,11546258,11384144,11500001,11.3496,
bitbank,btc_jpy,spot,2026-08-20T16:00:00+00:00,11500001,11568552,11474492,11568552,7.0031,
bitbank,btc_jpy,spot,2026-08-20T17:00:00+00:00,11568551,11584136,11527961,11562125,5.7549,
bitbank,btc_jpy,spot,2026-08-20T18:00:00+00:00,11561495,11565886,11509598,11515917,3.8134,
bitbank,btc_jpy,spot,2026-08-20T19:00:00+00:00,11515916,11559087,11504132,11547693,1.1484,
bitbank,btc_jpy,spot,2026-08-20T20:00:00+00:00,11548890,11619898,11544285,11550051,6.7486,
bitbank,btc_jpy,spot,2026-08-20T21:00:00+00:00,11550003,11572830,11541205,11566322,3.7585,
bitbank,btc_jpy,spot,2026-08-20T22:00:00+00:00,11566322,11570000,11527664,11549969,7.0374,
bitbank,btc_jpy,spot,2026-08-20T23:00:00+00:00,11549969,11656991,11545832,11605866,9.5025,
bitbank,btc_jpy,spot,2026-08-21T00:00:00+00:00,11602876,11755000,11602876,11725040,12.3396,
bitbank,btc_jpy,spot,2026-08-21T01:00:00+00:00,11725040,12027245,11718506,11945424,28.4334,
bitbank,btc_jpy,spot,2026-08-21T02:00:00+00:00,11943243,11949820,11801852,11828563,14.2071,
bitbank,btc_jpy,spot,2026-08-21T03:00:00+00:00,11829726,11911333,11782822,11852932,20.3582,
bitbank,btc_jpy,spot,2026-08-21T04:00:00+00:00,11852932,11925759,11852932,11922113,5.6615,
bitbank,btc_jpy,spot,2026-08-21T05:00:00+00:00,11921839,12000000,11915000,11979686,10.2547,
bitbank,btc_jpy,spot,2026-08-21T06:00:00+00:00,11985918,12040608,11947760,12019557,13.4521,
bitbank,btc_jpy,spot,2026-08-21T07:00:00+00:00,12018441,12300000,12014211,12131392,30.5190,
